time,close,high,low,open,volumefrom,volumeto
1468886400,1.09,1.1,1.08,1.09,13323.81,14493.19
1468972800,1.08,1.09,1.07,1.09,27478.21,29709.47
1469059200,1.09,1.09,1.07,1.08,9031.57,9790.91
1469145600,1.08,1.09,1.08,1.09,8421.86,9178.39
1469232000,1.08,1.09,1.08,1.08,9819.17,10604.24
1469318400,1.09,1.09,1.08,1.08,5475.83,5945.77
1469404800,1.08,1.09,1.08,1.09,5362.75,5829.78
1469491200,1.09,1.1,1.08,1.08,15323.16,16686.63
1469577600,1.1,1.1,1.08,1.09,70911.26,76812.36
1469664000,1.1,1.1,1.09,1.1,65475.13,71675
1469750400,1.11,1.11,1.1,1.1,101064,111812.89
1469836800,1.12,1.12,1.11,1.11,40649.28,45322.84
1469923200,1.11,1.12,1.1,1.12,30931.86,34395.6
1470009600,1.12,1.14,1.11,1.11,55858.41,62517.3
1470096000,1.11,1.14,1.07,1.12,89568.23,98505.51
1470182400,1.1,1.13,1.08,1.11,73133.4,80413.96
1470268800,1.09,1.11,1.08,1.1,46307.43,50655.47
1470355200,1.09,1.1,1.07,1.09,7248.14,7883.7
1470441600,1.1,1.1,1.07,1.09,30464.16,32636.55
1470528000,1.1,1.1,1.08,1.1,33184.47,36110.39
1470614400,1.09,1.1,1.07,1.1,44423.93,48257.25
1470700800,1.09,1.09,1.08,1.09,25900.65,28165.96
1470787200,1.11,1.11,1.09,1.09,138686.04,153332.61
1470873600,1.11,1.11,1.1,1.11,100534.71,111213.88
1470960000,1.11,1.11,1.11,1.11,56628.21,62759.11
1471046400,1.12,1.12,1.11,1.11,25457.83,28449.12
1471132800,1.12,1.12,1.09,1.12,80100.65,87992.29
1471219200,1.11,1.11,1.04,1.12,45588.23,49353.57
1471305600,1.13,1.13,1.11,1.11,45774.69,51241.52
1471392000,1.13,1.13,1.12,1.13,18046.82,20291.22
1471478400,1.14,1.15,1.12,1.13,109193.79,123100.61
1471564800,1.14,1.14,1.13,1.14,49129.38,55698.26
1471651200,1.15,1.15,1.14,1.14,13446.06,15293.61
1471737600,1.14,1.15,1.14,1.15,45446.25,51868.93
1471824000,1.14,1.14,1.14,1.14,61831.53,70496.91
1471910400,1.14,1.15,1.14,1.14,74392.68,85035.7
1471996800,1.13,1.14,1.13,1.14,69053.05,78577.53
1472083200,1.14,1.14,1.12,1.13,16181.51,18239.38
1472169600,1.12,1.14,1.12,1.14,29730.09,33608.94
1472256000,1.13,1.13,1.13,1.12,46832.38,52693.51
1472342400,1.12,1.13,1.12,1.13,18585.88,20814.25
1472428800,1.11,1.13,1.1,1.12,33048.37,36813.68
1472515200,1.12,1.13,1.11,1.11,20961.26,23513.14
1472601600,1.12,1.13,1.11,1.12,21960.8,24602.44
1472688000,1.12,1.12,1.11,1.12,15556,17348.38
1472774400,1.12,1.13,1.11,1.12,11138.07,12504.85
1472860800,1.11,1.12,1.11,1.12,30887.73,34387.81
1472947200,1.11,1.12,1.11,1.11,25881.18,28731.42
1473033600,1.11,1.12,1.11,1.11,8511.55,9469.27
1473120000,1.12,1.12,1.11,1.11,2196.83,2447.52
1473206400,1.11,1.12,1.11,1.12,12186.28,13619.26
1473292800,1.12,1.12,1.11,1.11,17696.28,19645.71
1473379200,1.12,1.12,1.1,1.12,22296.22,24721.17
1473465600,1.11,1.12,1.11,1.12,2889.71,3229.53
1473552000,1.12,1.12,1.11,1.11,28242.75,31454.87
1473638400,1.13,1.13,1.12,1.12,23791.52,26681.29
1473724800,1.12,1.12,1.11,1.13,26866.62,30029.41
1473811200,1.12,1.12,1.11,1.12,10542.79,11762.83
1473897600,1.12,1.13,1.11,1.12,20851.64,23363.9
1473984000,1.13,1.13,1.12,1.12,24413.94,27463.19
1474070400,1.12,1.13,1.12,1.13,575.23,643.76
1474156800,1.12,1.12,1.12,1.12,1183.18,1328.8
1474243200,1.12,1.15,1.11,1.12,50236.78,56814.55
1474329600,1.11,1.12,1.11,1.12,4300.91,4803.57
1474416000,1.12,1.12,1.11,1.11,15794.8,17615.83
1474502400,1.12,1.12,1.11,1.12,15463.81,17337.89
1474588800,1.12,1.12,1.12,1.12,22371.6,25119.02
1474675200,1.12,1.13,1.12,1.12,2631.53,2955.32
1474761600,1.13,1.13,1.12,1.12,2252.96,2538.07
1474848000,1.12,1.13,1.11,1.13,63494.7,71498.73
1474934400,1.12,1.13,1.11,1.12,9952.11,11160.51
1475020800,1.12,1.13,1.11,1.12,67170.62,75250.38
1475107200,1.12,1.12,1.11,1.12,25863.55,28915.98
1475193600,1.12,1.12,1.11,1.12,27820.46,31092.23
1475280000,1.12,1.12,1.11,1.12,7051.54,7857.48
1475366400,1.12,1.12,1.11,1.12,6031.8,6723.06
1475452800,1.11,1.12,1.11,1.12,19083.47,21307.32
1475539200,1.12,1.12,1.1,1.11,42247.88,46789.31
1475625600,1.11,1.12,1.08,1.12,9706.81,10644.41
1475712000,1.1,1.12,1.08,1.11,45390.73,49978.47
1475798400,1.1,1.11,1.05,1.1,22863.72,24517.51
1475884800,1.1,1.11,1.1,1.1,2095.46,2318.31
1475971200,1.1,1.11,1.1,1.1,3922.2,4335.28
1476057600,1.11,1.12,1.1,1.1,88401.95,98158.53
1476144000,1.1,1.11,1.09,1.11,36539.89,40270.82
1476230400,1.1,1.11,1.1,1.1,44849.55,49483.32
1476316800,1.1,1.11,1.1,1.1,123999.93,136544.04
1476403200,1.1,1.11,1.1,1.1,21496.58,23600.21
1476489600,1.1,1.11,1.1,1.1,41047.88,44956.8
1476576000,1.09,1.1,1.09,1.1,29110.9,31859.7
1476662400,1.1,1.1,1.08,1.09,29803.62,32545.98
1476748800,1.09,1.1,1.09,1.1,19016.79,20854.81
1476835200,1.09,1.1,1.09,1.09,32558.19,35613.15
1476921600,1.1,1.1,1.1,1.09,24485.36,26940.44
1477008000,1.1,1.11,1.09,1.1,29574.81,32448.45
1477094400,1.09,1.1,1.09,1.1,46773.35,50996.4
1477180800,1.08,1.09,1.08,1.09,6685.01,7244.7
1477267200,1.09,1.1,1.09,1.08,120724.82,132294.99
1477353600,1.09,1.1,1.09,1.09,102718.84,112301.65
1477440000,1.09,1.11,1.09,1.09,32041.53,35233.74
1477526400,1.09,1.11,1.08,1.09,103741.31,113145.49
1477612800,1.09,1.1,1.09,1.09,30667.29,33463.48
1477699200,1.1,1.1,1.09,1.09,13180.68,14453.85
1477785600,1.1,1.11,1.09,1.1,24966.6,27473.62
1477872000,1.09,1.1,1.09,1.1,48039.81,52525.62
1477958400,1.1,1.11,1.1,1.09,86207.29,94858.39
1478044800,1.1,1.11,1.1,1.1,14591.07,16118.36
1478131200,1.1,1.11,1.09,1.1,42149.11,46174.58
1478217600,1.11,1.11,1.08,1.1,32657.42,35717.7
1478304000,1.1,1.1,1.09,1.11,7312.59,7990.9
1478390400,1.1,1.1,1.09,1.1,19591.1,21469.13
1478476800,1.09,1.11,1.09,1.1,29579,32487.46
1478563200,1.09,1.1,1.08,1.09,24051.21,26165.49
1478649600,1.09,1.12,1.09,1.09,161772.94,177937.16
1478736000,1.08,1.1,1.08,1.09,79954.37,86878.81
1478822400,1.08,1.1,1.08,1.08,211895.62,230059.01
1478908800,1.08,1.08,1.07,1.08,57001.82,61120.2
1478995200,1.07,1.08,1.07,1.08,6798.7,7295.65
1479081600,1.07,1.08,1.07,1.07,66477.25,71465.39
1479168000,1.07,1.09,1.07,1.07,138295.77,148544.69
1479254400,1.07,1.09,1.07,1.07,144479.31,154926.06
1479340800,1.06,1.07,1.06,1.07,58616.53,62329.47
1479427200,1.06,1.09,1.06,1.06,56887.75,60683.46
1479513600,1.06,1.07,1.06,1.06,1770.31,1880.59
1479600000,1.06,1.07,1.06,1.06,46040.44,48716.71
1479686400,1.06,1.07,1.05,1.06,35171.3,37119.67
1479772800,1.06,1.09,1.05,1.06,108706.87,115287.44
1479859200,1.05,1.06,1.04,1.06,88292.52,92522.39
1479945600,1.05,1.07,1.05,1.05,80643.85,85167.21
1480032000,1.06,1.06,1.04,1.05,86830.25,90979.95
1480118400,1.05,1.05,1.05,1.06,33509.2,35095.61
1480204800,1.05,1.05,1.04,1.05,14423.78,15042.21
1480291200,1.05,1.06,1.04,1.05,160289.6,168034.16
1480377600,1.05,1.06,1.05,1.05,72629.28,76132.03
1480464000,1.05,1.07,1.05,1.05,58547.65,61808
1480550400,1.05,1.06,1.05,1.05,60881.5,63943.16
1480636800,1.06,1.07,1.05,1.05,129919.2,137712.14
